NOMBRE_CLIENTE,CVE_DOC,MARGEN_TOTAL_CALCULADO
PÚBLICO EN GENERAL,F37034,381.68
PÚBLICO EN GENERAL,F37043,141.41
PÚBLICO EN GENERAL,F37043,375.32
PÚBLICO EN GENERAL,F37134,2241.2
PÚBLICO EN GENERAL,F37153,941.24
PÚBLICO EN GENERAL,F37171,2398.82
PÚBLICO EN GENERAL,F37185,480.75
PÚBLICO EN GENERAL,F37202,446.2
PÚBLICO EN GENERAL,F37204,1223.06
PÚBLICO EN GENERAL,F37214,68.8
PÚBLICO EN GENERAL,F37289,2270.16
PÚBLICO EN GENERAL,F37289,1437.95
PÚBLICO EN GENERAL,F37321,3193.27
PÚBLICO EN GENERAL,F37336,1182.21
PÚBLICO EN GENERAL,F37336,488.51
PÚBLICO EN GENERAL,F37362,230.38
PÚBLICO EN GENERAL,F37395,849.67
PÚBLICO EN GENERAL,F37417,824.79
PÚBLICO EN GENERAL,F37422,161.74
PÚBLICO EN GENERAL,F37433,653.35
PÚBLICO EN GENERAL,F37468,576.24
PÚBLICO EN GENERAL,F37543,301.0
PÚBLICO EN GENERAL,F37543,245.28
PÚBLICO EN GENERAL,F37578,583.35
PÚBLICO EN GENERAL,F37629,1714.24
PÚBLICO EN GENERAL,F37673,1350.55
PÚBLICO EN GENERAL,F37742,533.99
PÚBLICO EN GENERAL,F37818,298.24
PÚBLICO EN GENERAL,F37906,987.6
PÚBLICO EN GENERAL,F37951,67.21
PÚBLICO EN GENERAL,F38043,3984.95
PÚBLICO EN GENERAL,F38058,4267.36
PÚBLICO EN GENERAL,F38094,126.37
PÚBLICO EN GENERAL,F38112,297.27
PÚBLICO EN GENERAL,F38189,1806.6
PÚBLICO EN GENERAL,F38245,467.22
PÚBLICO EN GENERAL,F38249,167.59
PÚBLICO EN GENERAL,F38295,733.01
PÚBLICO EN GENERAL,F38358,799.61
PÚBLICO EN GENERAL,F38412,719.74
PÚBLICO EN GENERAL,F38412,143.51
PÚBLICO EN GENERAL,F38418,1333.73
PÚBLICO EN GENERAL,F38469,475.41
PÚBLICO EN GENERAL,F38474,3840.62
PÚBLICO EN GENERAL,F38495,789.87
PÚBLICO EN GENERAL,F38499,255.2
PÚBLICO EN GENERAL,F38502,2206.69
PÚBLICO EN GENERAL,F38505,395.73
PÚBLICO EN GENERAL,F38534,753.73
PÚBLICO EN GENERAL,F38534,1166.49
PÚBLICO EN GENERAL,F38534,1168.31
PÚBLICO EN GENERAL,F38534,1258.01
PÚBLICO EN GENERAL,F38558,569.47
PÚBLICO EN GENERAL,F38566,1186.02
PÚBLICO EN GENERAL,F38588,470.89
PÚBLICO EN GENERAL,F38588,775.35
PÚBLICO EN GENERAL,F38617,293.2
PÚBLICO EN GENERAL,F38789,603.56
PÚBLICO EN GENERAL,F38890,167.59
PÚBLICO EN GENERAL,F38938,418.0
PÚBLICO EN GENERAL,F38957,7520.42
PÚBLICO EN GENERAL,F38959,973.25
PÚBLICO EN GENERAL,F38959,815.49
PÚBLICO EN GENERAL,F39004,5011.1
PÚBLICO EN GENERAL,F39005,455.09
PÚBLICO EN GENERAL,F39007,1093.74
PÚBLICO EN GENERAL,F39007,-495.82
PÚBLICO EN GENERAL,F39063,868.94
PÚBLICO EN GENERAL,F39065,758.67
PÚBLICO EN GENERAL,F39065,3832.72
PÚBLICO EN GENERAL,F39065,1103.54
PÚBLICO EN GENERAL,F39078,166.51
PÚBLICO EN GENERAL,F39144,885.86
PÚBLICO EN GENERAL,F39152,1476.66
PÚBLICO EN GENERAL,F39240,1265.45
PÚBLICO EN GENERAL,F39265,968.28
PÚBLICO EN GENERAL,F39422,558.07
PÚBLICO EN GENERAL,F39424,2214.65
PÚBLICO EN GENERAL,F39438,184.09
PÚBLICO EN GENERAL,F39441,1107.63
PÚBLICO EN GENERAL,F39470,71.8
PÚBLICO EN GENERAL,F39471,3758.32
PÚBLICO EN GENERAL,F39519,467.55
PÚBLICO EN GENERAL,F39554,3056.77
PÚBLICO EN GENERAL,F39643,399.02
PÚBLICO EN GENERAL,F39647,600.41
PÚBLICO EN GENERAL,F39666,1080.26
PÚBLICO EN GENERAL,F39675,1244.62
PÚBLICO EN GENERAL,F39730,257.4
PÚBLICO EN GENERAL,F39748,420.07
PÚBLICO EN GENERAL,F39752,462.44
PÚBLICO EN GENERAL,F39754,6387.73
PÚBLICO EN GENERAL,F39780,352.4
PÚBLICO EN GENERAL,F39817,829.0
